,0
0,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000000000001000000010000000000100000100101001001001010001000100101000100011110111110
1,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000000000011000000010000000000100000100101011001001010000000100101000100011111111110
2,00000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000100000000001011010
3,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000000000001000000010000000000000000100101000001001011000101000101000000010110111110
4,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000110000000000000000010000000000000001010
5,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000011010
6,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001010000000000000001000010101111010
7,00000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000010000000010001000001100000000001011001000000000100100101100100001011011110
8,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000001000100000000000000000100000101110000001011000011000110100111010
9,00000000000000000000000000000000000001000001000000000000000000000000000000000100000000010000000000000001001100100000010000000100000101110000001011000011001010100111110
10,00000000000000000000000100000000000000000000000000000000000000000000000000100000000000010000000000000001001100100000010000010010000001110000000000000101101011111111110
11,00000000000000000000000001000000000000000000000100000100000100001100000000000100111000001000010000101000001000000010000011000000000101010110011000000101010110101111010
12,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000101000000000001000101000000100101000011110
13,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000100000101010000001001000001000110100111010
14,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000100000011010
15,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000111000000000000000101000000100001000011110
16,00000000000000000000000001000000000000000001000000000000000000000000000000000110000000000000000000000000001000000000000100000100000101010000001001000001000010100111010
17,00000000000000000000000000000000001000000000000000000000000000000000000000000000000001100000000000011000000000000000000000100000000000000010000000001000010100100100000
18,00000000000000000000000000000000000000000000000000000000000000000000000000000000001001100001000100001000100001010000001000100000110110000011000000111000010101110100100
19,00000000000000000000000000000000000000000000000000000000010000000000000000110000000001100000000100101000000011010001001011100000110010000110000000011100010101101101110
20,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000011000011101000000010110000000000000000010100010101001000100
21,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000000000110000000000010000001000000010101000011110
22,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000010000000000000000001010000000000000001010110101111010
23,00000000000000000000000000000000000000000000000000000000000000000000000000100000000001100000010000001000000000000001000000100000000000000000000000001100010100101111010
24,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000111000000100000000111000010100001000011110
25,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000111101000000001110000000001000100010000100101001011110
26,00000000000000000000001000000000000000000000000000100000010000000010000000101000000100000100000010010000000001001000000000010110100010000100010000100110111101011011110
27,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000000000000001000000011110
28,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000100001011010
29,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000011010
30,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000101010001000000000001001011111111110
31,00000000000000000100000000000000000000000010000000000000000000000100000010000000000000010000100000100001000111100100010001010111000000100100100111100010111111011111110
32,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000001000110000110100001001011110
33,00000000000000000000000101000000000000000001000000000000000000000100000000000101000100000000010011000100011000100000010011010110000101010100001000000001001011111111110
